spc_id,year,spc_type,selected_by,test_col,x,y,P.Sgreen,P.Snir,P.Snir.rg,N_savg,N_ctr,ovlp.area,spc.pa,dswe.area,elev.abv,postOcc,preOcc,dsweSept7
1168520,2021,dry,annotated,0,546957.8077,5136615.871,0.0634405578613281,0.108466430664063,0.05056643066,94.05725861,149.4221497,549,7.396551724,1800,0,0.2351114,0.475524515,5
1168512,2021,dry,annotated,0,546939.7979,5135955.798,0.0785914916992188,0.138491491699219,0.05934042969,157.3390656,89.09711456,378,2.82,9900,4.27e-4,0.372340411,0.297872335,5
1168574,2021,dry,annotated,0,546998.8636,5135912.7,0.0784763610839844,0.144180004882812,0.0337345459,151.9535828,27.25288963,234,2.75,9900,0.008026123,0.07692308,0.169696972,5
1168967,2021,dry,annotated,0,547175.2059,5134826.059,0.1108,0.230151953125,0.04171177979,122.6858597,31.69828987,414,6.954545455,63900,-0.621337891,0,0,5
1169054,2021,em_veg,annotated,0,547217.2434,5134775.031,0.0815973449707031,0.165535400390625,0.0824362793,117.9437408,79.44291687,1017,3.684782609,63900,0.190460205,0.149262533,0.625368714,4.92920351
1169210,2021,em_veg,annotated,0,547277.8953,5134889.756,0.0669596923828125,0.13399921875,0.08794807129,130.8668518,141.5609283,1161,4.8375,63900,0.196868896,0.486695379,0.971576214,4.937984467
1168742,2021,em_veg,random_draw,0,547082.6351,5134447.257,0.0656824340820313,0.121859460449219,0.03657027588,150.9373474,108.3227997,351,5.045454545,65700,0.03692627,0.052972972,0.054054055,5
1168909,2021,em_veg,random_draw,0,547149.3919,5134319.041,0.0750198181152344,0.143135131835938,0.0256189209,96.66007996,31.74214745,342,6.66,65700,-0.501953125,0,0.264264256,5
1169102,2021,em_veg,random_draw,0,547237.5822,5134378.973,0.0495410949707031,0.0696636962890625,0.03183630371,157.8971252,13.10520363,1314,7.551724138,65700,0.04083252,0.11753425,0.792237461,5
1169186,2021,em_veg,random_draw,0,547266.3333,5134259.2,0.0805488891601562,0.143974438476562,0.0181722168,109.546669,31.70673752,684,5.192307692,65700,-0.365600586,0.022222223,0.444444448,5
1169346,2021,em_veg,random_draw,0,547325.1364,5134047.273,0.0752681823730469,0.14469697265625,0.05585606079,123.8998642,98.96364594,468,4.5,65700,-0.020843506,0,0.787878811,5
1169444,2021,em_veg,random_draw,0,547386.7025,5134296.854,0.0623303771972656,0.112762023925781,0.04690252686,139.0072327,72.61730194,252,4.74,65700,0.027038574,0.029211296,0.198312238,5
1169526,2021,em_veg,random_draw,0,547412.6053,5134197.395,0.0541947387695313,0.0800710510253906,0.03910658569,155.62277220000001,36.86584473,684,5.181818182,65700,0.040710449,0.187185362,0.456140339,5
1169544,2021,em_veg,random_draw,0,547411.3125,5134074,0.0595854187011719,0.104895837402344,0.0514937561,138.964798,49.69603348,432,3.272727273,65700,0.039825439,0.016666666,0.819444418,5
1163197,2021,deep_viz,annotated,0,544390.6515,5124777.803,0.0424909088134766,0.0311787872314453,0.01585858765,17.46547318,1.978646755,891,6.456521739,694800,0.019958496,1,1,1
1163205,2021,dry,annotated,0,544393.4464,5124259.5,0.0634696411132813,0.105075,0.01154464111,43.22557449,112.1093826,450,3.230769231,694800,-0.047698975,0.900246263,0.916666687,3.910714388
